query,search_interest,change_pct,source,category
tenkasi pincode,2,7%,rising,geo
pincode of my current location,2,5%,rising,locator
edapally pincode,1,10%,rising,geo
know your digipin india post,1,Breakout,rising,digipin
what is my digipin,1,Breakout,rising,digipin
how to use digipin,1,Breakout,rising,digipin
my digipin home,1,Breakout,rising,digipin
how to know digipin,1,-70%,rising,digipin
digipin api,1,-80%,rising,digipin
ramapuram pincode,1,10%,rising,geo
nanakramguda pincode,1,9%,rising,geo
nungambakkam pincode,1,9%,rising,geo
beeramguda pincode,1,9%,rising,geo
narsingi pincode,1,7%,rising,geo
dilsukhnagar pincode,1,6%,rising,geo
mahabubabad pincode,1,5%,rising,geo
siddipet pincode,1,4%,rising,geo
kelambakkam pincode,1,4%,rising,geo
kolathur pincode,1,3%,rising,geo
patancheru pincode,1,3%,rising,geo
digipin india post digital addressing,0,Breakout,rising,digipin
digipin symbol,0,Breakout,rising,digipin
digipin for my location,0,Breakout,rising,digipin
know you digipin,0,Breakout,rising,digipin
dac india post digipin,0,-100%,rising,digipin
